sample.id	pop	moeregion	subregion	fourclusters	threeclusters
R01-CR-CE-01	R01-CR-CE	R01	R01-CR	VanIsland	swBC
R01-CR-CE-02	R01-CR-CE	R01	R01-CR	VanIsland	swBC
R01-CR-CE-03	R01-CR-CE	R01	R01-CR	VanIsland	swBC
R01-CR-CE-04	R01-CR-CE	R01	R01-CR	VanIsland	swBC
R01-CR-CE-05	R01-CR-CE	R01	R01-CR	VanIsland	swBC
R01-CR-CE-06	R01-CR-CE	R01	R01-CR	VanIsland	swBC
R01-CR-CE-07	R01-CR-CE	R01	R01-CR	VanIsland	swBC
R01-CR-CE-08	R01-CR-CE	R01	R01-CR	VanIsland	swBC
R01-CR-CE-09	R01-CR-CE	R01	R01-CR	VanIsland	swBC
R01-CR-CE-10	R01-CR-CE	R01	R01-CR	VanIsland	swBC
R01-CR-CE-11	R01-CR-CE	R01	R01-CR	VanIsland	swBC
R01-CR-CE-12	R01-CR-CE	R01	R01-CR	VanIsland	swBC
R01-CR-CE-13	R01-CR-CE	R01	R01-CR	VanIsland	swBC
R01-CR-CE-14	R01-CR-CE	R01	R01-CR	VanIsland	swBC
R01-CR-CE-15	R01-CR-CE	R01	R01-CR	VanIsland	swBC
R01-CR-CE-16	R01-CR-CE	R01	R01-CR	VanIsland	swBC
R01-CR-CE-17	R01-CR-CE	R01	R01-CR	VanIsland	swBC
R01-CR-CE-18	R01-CR-CE	R01	R01-CR	VanIsland	swBC
R01-CR-CE-19	R01-CR-CE	R01	R01-CR	VanIsland	swBC
R01-CR-CE-20	R01-CR-CE	R01	R01-CR	VanIsland	swBC
R01-CR-CE-21	R01-CR-CE	R01	R01-CR	VanIsland	swBC
R01-CR-CE-22	R01-CR-CE	R01	R01-CR	VanIsland	swBC
R01-CR-CE-23	R01-CR-CE	R01	R01-CR	VanIsland	swBC
R01-CR-CE-24	R01-CR-CE	R01	R01-CR	VanIsland	swBC
R01-CR-CE-25	R01-CR-CE	R01	R01-CR	VanIsland	swBC
R01-CR-CE-26	R01-CR-CE	R01	R01-CR	VanIsland	swBC
R01-CR-CE-27	R01-CR-CE	R01	R01-CR	VanIsland	swBC
R01-CR-CE-28	R01-CR-CE	R01	R01-CR	VanIsland	swBC
R01-CR-CE-29	R01-CR-CE	R01	R01-CR	VanIsland	swBC
R01-CR-CE-30	R01-CR-CE	R01	R01-CR	VanIsland	swBC
R01-CR-RA-01	R01-CR-RA	R01	R01-CR	VanIsland	swBC
R01-CR-RA-02	R01-CR-RA	R01	R01-CR	VanIsland	swBC
R01-CR-RA-03	R01-CR-RA	R01	R01-CR	VanIsland	swBC
R01-CR-RA-04	R01-CR-RA	R01	R01-CR	VanIsland	swBC
R01-CR-RA-05	R01-CR-RA	R01	R01-CR	VanIsland	swBC
R01-CR-RA-06	R01-CR-RA	R01	R01-CR	VanIsland	swBC
R01-CR-RA-07	R01-CR-RA	R01	R01-CR	VanIsland	swBC
R01-CR-RA-08	R01-CR-RA	R01	R01-CR	VanIsland	swBC
R01-CR-RA-09	R01-CR-RA	R01	R01-CR	VanIsland	swBC
R01-CR-RA-10	R01-CR-RA	R01	R01-CR	VanIsland	swBC
R01-CR-RA-11	R01-CR-RA	R01	R01-CR	VanIsland	swBC
R01-CR-RA-12	R01-CR-RA	R01	R01-CR	VanIsland	swBC
R01-CR-RA-13	R01-CR-RA	R01	R01-CR	VanIsland	swBC
R01-CR-RA-14	R01-CR-RA	R01	R01-CR	VanIsland	swBC
R01-CR-RA-15	R01-CR-RA	R01	R01-CR	VanIsland	swBC
R01-CR-RA-16	R01-CR-RA	R01	R01-CR	VanIsland	swBC
R01-CR-RA-17	R01-CR-RA	R01	R01-CR	VanIsland	swBC
R01-CR-RA-18	R01-CR-RA	R01	R01-CR	VanIsland	swBC
R01-CR-RA-19	R01-CR-RA	R01	R01-CR	VanIsland	swBC
R01-CR-RA-20	R01-CR-RA	R01	R01-CR	VanIsland	swBC
R01-CR-RA-21	R01-CR-RA	R01	R01-CR	VanIsland	swBC
R01-CR-RA-22	R01-CR-RA	R01	R01-CR	VanIsland	swBC
R01-CR-RA-23	R01-CR-RA	R01	R01-CR	VanIsland	swBC
R01-CR-RA-24	R01-CR-RA	R01	R01-CR	VanIsland	swBC
R01-CR-RA-25	R01-CR-RA	R01	R01-CR	VanIsland	swBC
R01-CR-RA-26	R01-CR-RA	R01	R01-CR	VanIsland	swBC
R01-CR-RA-27	R01-CR-RA	R01	R01-CR	VanIsland	swBC
R01-CR-RA-28	R01-CR-RA	R01	R01-CR	VanIsland	swBC
R01-CR-RA-29	R01-CR-RA	R01	R01-CR	VanIsland	swBC
R01-CR-RA-30	R01-CR-RA	R01	R01-CR	VanIsland	swBC
R01-NI-CX-01	R01-NI-CX	R01	R01-NI	VanIsland	swBC
R01-NI-CX-02	R01-NI-CX	R01	R01-NI	VanIsland	swBC
R01-NI-CX-03	R01-NI-CX	R01	R01-NI	VanIsland	swBC
R01-NI-CX-04	R01-NI-CX	R01	R01-NI	VanIsland	swBC
R01-NI-CX-05	R01-NI-CX	R01	R01-NI	VanIsland	swBC
R01-NI-CX-06	R01-NI-CX	R01	R01-NI	VanIsland	swBC
R01-NI-CX-07	R01-NI-CX	R01	R01-NI	VanIsland	swBC
R01-NI-CX-08	R01-NI-CX	R01	R01-NI	VanIsland	swBC
R01-NI-CX-09	R01-NI-CX	R01	R01-NI	VanIsland	swBC
R01-NI-CX-10	R01-NI-CX	R01	R01-NI	VanIsland	swBC
R01-NI-CX-11	R01-NI-CX	R01	R01-NI	VanIsland	swBC
R01-NI-CX-12	R01-NI-CX	R01	R01-NI	VanIsland	swBC
R01-NI-CX-13	R01-NI-CX	R01	R01-NI	VanIsland	swBC
R01-NI-CX-14	R01-NI-CX	R01	R01-NI	VanIsland	swBC
R01-NI-CX-15	R01-NI-CX	R01	R01-NI	VanIsland	swBC
R01-NI-CX-16	R01-NI-CX	R01	R01-NI	VanIsland	swBC
R01-NI-CX-17	R01-NI-CX	R01	R01-NI	VanIsland	swBC
R01-NI-CX-18	R01-NI-CX	R01	R01-NI	VanIsland	swBC
R01-NI-CX-19	R01-NI-CX	R01	R01-NI	VanIsland	swBC
R01-NI-CX-20	R01-NI-CX	R01	R01-NI	VanIsland	swBC
R01-NI-CX-21	R01-NI-CX	R01	R01-NI	VanIsland	swBC
R01-NI-CX-22	R01-NI-CX	R01	R01-NI	VanIsland	swBC
R01-NI-CX-23	R01-NI-CX	R01	R01-NI	VanIsland	swBC
R01-NI-CX-24	R01-NI-CX	R01	R01-NI	VanIsland	swBC
R01-NI-CX-25	R01-NI-CX	R01	R01-NI	VanIsland	swBC
R01-NI-CX-26	R01-NI-CX	R01	R01-NI	VanIsland	swBC
R01-NI-CX-27	R01-NI-CX	R01	R01-NI	VanIsland	swBC
R01-NI-CX-28	R01-NI-CX	R01	R01-NI	VanIsland	swBC
R01-NI-CX-29	R01-NI-CX	R01	R01-NI	VanIsland	swBC
R01-NI-CX-30	R01-NI-CX	R01	R01-NI	VanIsland	swBC
R01-NI-OC-01	R01-NI-OC	R01	R01-NI	VanIsland	swBC
R01-NI-OC-02	R01-NI-OC	R01	R01-NI	VanIsland	swBC
R01-NI-OC-03	R01-NI-OC	R01	R01-NI	VanIsland	swBC
R01-NI-OC-04	R01-NI-OC	R01	R01-NI	VanIsland	swBC
R01-NI-OC-05	R01-NI-OC	R01	R01-NI	VanIsland	swBC
R01-NI-OC-06	R01-NI-OC	R01	R01-NI	VanIsland	swBC
R01-NI-OC-07	R01-NI-OC	R01	R01-NI	VanIsland	swBC
R01-NI-OC-08	R01-NI-OC	R01	R01-NI	VanIsland	swBC
R01-NI-OC-09	R01-NI-OC	R01	R01-NI	VanIsland	swBC
R01-NI-OC-10	R01-NI-OC	R01	R01-NI	VanIsland	swBC
R01-NI-OC-11	R01-NI-OC	R01	R01-NI	VanIsland	swBC
R01-NI-OC-12	R01-NI-OC	R01	R01-NI	VanIsland	swBC
R01-NI-OC-13	R01-NI-OC	R01	R01-NI	VanIsland	swBC
R01-NI-OC-14	R01-NI-OC	R01	R01-NI	VanIsland	swBC
R01-NI-OC-15	R01-NI-OC	R01	R01-NI	VanIsland	swBC
R01-NI-OC-16	R01-NI-OC	R01	R01-NI	VanIsland	swBC
R01-NI-OC-17	R01-NI-OC	R01	R01-NI	VanIsland	swBC
R01-NI-OC-18	R01-NI-OC	R01	R01-NI	VanIsland	swBC
R01-NI-OC-19	R01-NI-OC	R01	R01-NI	VanIsland	swBC
R01-NI-OC-20	R01-NI-OC	R01	R01-NI	VanIsland	swBC
R01-NI-OC-21	R01-NI-OC	R01	R01-NI	VanIsland	swBC
R01-NI-OC-22	R01-NI-OC	R01	R01-NI	VanIsland	swBC
R01-NI-OC-23	R01-NI-OC	R01	R01-NI	VanIsland	swBC
R01-NI-OC-24	R01-NI-OC	R01	R01-NI	VanIsland	swBC
R01-NI-OC-25	R01-NI-OC	R01	R01-NI	VanIsland	swBC
R01-NI-OC-26	R01-NI-OC	R01	R01-NI	VanIsland	swBC
R01-NI-OC-27	R01-NI-OC	R01	R01-NI	VanIsland	swBC
R01-NI-OC-28	R01-NI-OC	R01	R01-NI	VanIsland	swBC
R01-NI-OC-29	R01-NI-OC	R01	R01-NI	VanIsland	swBC
R01-NI-OC-30	R01-NI-OC	R01	R01-NI	VanIsland	swBC
R01-SI-CA-01	R01-SI-CA	R01	R01-SI	VanIsland	swBC
R01-SI-CA-02	R01-SI-CA	R01	R01-SI	VanIsland	swBC
R01-SI-CA-03	R01-SI-CA	R01	R01-SI	VanIsland	swBC
